Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
0,"2,022.80","2,072.90","2,050.11","2,071.18","2,135.42","2,111.63"
1,"2,023.53","2,072.90","2,053.94","2,086.64","2,144.83","2,105.45"
2,"2,026.79","2,072.90","2,063.91","2,080.81","2,147.74","2,109.72"
3,"2,035.11","2,072.91","2,029.30","2,085.61","2,145.98","2,120.87"
4,"2,036.15","2,072.91","2,037.52","2,091.24","2,135.93","2,089.72"
5,"2,039.81","2,072.91","2,050.01","2,087.98","2,136.56","2,105.69"
6,"2,045.29","2,072.91","2,073.67","2,068.29","2,115.44","2,118.64"
7,"2,027.81","2,072.91","2,084.96","2,079.12","2,108.25","2,152.15"
8,"2,026.91","2,072.91","2,075.05","2,100.91","2,125.82","2,163.49"
9,"2,031.05","2,072.91","2,078.49","2,108.81","2,080.34","2,150.65"
10,"2,046.61","2,072.91","2,083.15","2,105.18","2,063.10","2,154.45"
11,"2,060.45","2,072.91","2,078.38","2,106.68","2,095.82","2,157.79"
12,"2,063.04","2,072.91","2,061.61","2,104.46","2,089.86","2,151.42"
13,"2,066.52","2,072.92","2,073.22","2,050.13","2,064.74","2,135.51"
14,"2,070.20","2,072.92","2,094.72","2,060.27","2,032.95","2,152.96"
15,"2,068.22","2,072.92","2,098.65","2,027.78","2,047.78","2,182.14"
16,"2,058.92","2,072.92","2,095.21","2,040.68","2,045.46","2,181.45"
17,"2,061.79","2,072.92","2,101.00","2,064.28","2,064.49","2,175.88"
18,"2,073.75","2,072.92","2,095.34","2,074.51","2,077.94","2,182.29"
19,"2,082.41","2,072.92","2,042.51","2,093.34","2,097.22","2,175.72"
20,"2,084.78","2,072.92","2,052.53","2,109.50","2,105.33","2,118.69"
21,"2,087.46","2,072.92","2,024.95","2,126.86","2,118.54","2,141.59"
22,"2,087.28","2,072.92","2,044.43","2,135.44","2,121.94","2,101.36"
23,"2,057.23","2,072.93","2,067.30","2,140.38","2,127.62","2,135.96"
24,"2,050.61","2,072.93","2,073.46","2,144.69","2,105.39","2,167.40"
25,"2,030.70","2,072.93","2,090.69","2,152.19","2,100.41","2,169.17"
26,"2,035.41","2,072.93","2,101.35","2,154.94","2,109.70","2,193.79"
27,"2,049.77","2,072.93","2,114.70","2,149.54","2,097.57","2,204.27"
28,"2,061.77","2,072.93","2,118.50","2,136.39","2,084.23","2,221.94"
29,"2,077.55","2,072.93","2,121.77","2,137.07","2,085.76","2,221.11"
30,"2,090.14","2,072.93","2,126.71","2,113.97","2,110.39","2,221.30"
31,"2,101.18","2,072.93","2,135.36","2,103.15","2,113.23","2,226.41"
32,"2,108.78","2,072.93","2,135.91","2,118.73","2,111.46","2,237.63"
33,"2,111.89","2,072.94","2,134.26","2,075.94","2,120.08","2,235.17"
34,"2,116.83","2,072.94","2,123.83","2,059.82","2,140.26","2,232.22"
35,"2,123.18","2,072.94","2,122.85","2,091.06","2,165.66","2,221.43"
36,"2,125.98","2,072.94","2,102.00","2,086.36","2,175.47","2,220.92"
37,"2,126.53","2,072.94","2,100.50","2,063.51","2,181.83","2,199.81"
38,"2,121.44","2,072.94","2,118.30","2,030.44","2,192.75","2,201.06"
39,"2,119.93","2,072.94","2,073.40","2,036.77","2,206.40","2,224.34"
40,"2,108.34","2,072.94","2,059.87","2,036.33","2,213.78","2,167.41"
41,"2,100.27","2,072.94","2,095.80","2,056.09","2,223.74","2,159.32"
42,"2,106.47","2,072.94","2,087.48","2,071.87","2,220.27","2,211.99"
43,"2,085.63","2,072.95","2,066.61","2,095.40","2,235.48","2,192.40"
44,"2,072.11","2,072.95","2,044.49","2,105.63","2,246.66","2,160.30"
45,"2,083.28","2,072.95","2,065.12","2,121.89","2,238.27","2,127.84"
46,"2,085.18","2,072.95","2,059.98","2,129.39","2,223.00","2,167.79"
47,"2,075.99","2,072.95","2,079.61","2,135.06","2,234.15","2,154.68"
48,"2,057.09","2,072.95","2,090.49","2,113.82","2,222.20","2,187.95"
49,"2,059.77","2,072.95","2,108.49","2,105.17","2,236.25","2,200.69"
50,"2,060.06","2,072.95","2,113.96","2,112.58","2,245.59","2,227.30"
51,"2,070.17","2,072.95","2,125.54","2,099.07","2,248.26","2,229.54"
52,"2,082.41","2,072.95","2,124.94","2,086.53","2,248.16","2,246.02"
53,"2,098.70","2,072.96","2,130.14","2,081.92","2,255.86","2,240.17"
54,"2,108.23","2,072.96","2,106.42","2,105.08","2,241.74","2,246.58"
55,"2,118.11","2,072.96","2,102.84","2,107.30","2,243.52","2,210.11"
56,"2,122.74","2,072.96","2,111.80","2,105.56","2,224.69","2,210.52"
57,"2,128.05","2,072.96","2,099.72","2,117.65","2,222.22","2,225.27"
58,"2,117.03","2,072.96","2,087.63","2,138.89","2,230.23","2,205.71"
59,"2,111.89","2,072.96","2,093.43","2,171.02","2,245.93","2,190.38"
60,"2,113.79","2,072.96","2,116.96","2,183.65","2,225.00","2,202.46"
61,"2,108.34","2,072.96","2,117.17","2,190.78","2,202.22","2,238.66"
62,"2,100.37","2,072.96","2,114.75","2,202.03","2,157.75","2,233.01"
63,"2,099.14","2,072.97","2,122.05","2,215.19","2,164.81","2,228.29"
64,"2,110.80","2,072.97","2,141.09","2,221.74","2,188.40","2,238.17"
65,"2,116.84","2,072.97","2,160.74","2,231.50","2,188.46","2,266.38"
66,"2,119.05","2,072.97","2,166.20","2,227.40","2,175.39","2,296.07"
67,"2,124.55","2,072.97","2,170.04","2,242.52","2,162.65","2,296.28"
68,"2,136.34","2,072.97","2,178.53","2,253.98","2,178.58","2,297.68"
